cif_filename,formula,space_group,n_atoms,n_Co,n_Bi,min_CoCo,min_BiBi,min_CoBi,volume,volume_per_atom,packing_fraction
Co8_Bi4_m2_n1_z4_sg200_trial000_8c41854ca6.cif,Co8Bi4,200,12,8,4,2.790000,5.410093,3.130407,447.877486,37.323124,0.282765
Co8_Bi4_m2_n1_z4_sg201_trial000_8ce34be372.cif,Co8Bi4,201,12,8,4,3.221615,4.556051,2.790000,267.491941,22.290995,0.47345
Co8_Bi4_m2_n1_z4_sg195_trial000_d20ea28346.cif,Co8Bi4,195,12,8,4,3.225727,5.290672,2.790000,474.023109,39.501926,0.267169
Co8_Bi4_m2_n1_z4_sg205_trial000_d68907b610.cif,Co8Bi4,205,12,8,4,3.261534,4.798839,2.790000,312.574527,26.047877,0.405165
Co8_Bi4_m2_n1_z4_sg209_trial000_f7d9f20f8f.cif,Co8Bi4,209,12,8,4,3.221615,4.556051,2.790000,267.491941,22.290995,0.47345
Co8_Bi4_m2_n1_z4_sg202_trial000_1c6bfb4e41.cif,Co8Bi4,202,12,8,4,3.221615,4.556051,2.790000,267.491941,22.290995,0.47345
Co8_Bi4_m2_n1_z4_sg216_trial000_562f27ceb6.cif,Co8Bi4,216,12,8,4,2.790000,4.556051,2.790000,267.491941,22.290995,0.47345
Co8_Bi4_m2_n1_z4_sg215_trial000_d8720bb8f4.cif,Co8Bi4,215,12,8,4,4.013417,4.556051,2.790000,517.169374,43.097448,0.244879
Co8_Bi4_m2_n1_z4_sg207_trial000_975eb4d706.cif,Co8Bi4,207,12,8,4,2.982532,4.692126,2.790000,292.182375,24.348531,0.433442
Co8_Bi4_m2_n1_z4_sg225_trial000_dcf6f5c224.cif,Co8Bi4,225,12,8,4,3.221615,4.556051,2.790000,267.491941,22.290995,0.47345
